characterr,sentence,entityontoid,entitylabel,qualityontoid,qualitylabel
Mesethmoid shape,broad cornuae; mesethmoid anterior margin slightly convex to truncate with only remnant of a notch,BSPO:0000671^OBO_REL:part_of(TAO:0000323),anterior margin(part_of(mesethmoid bone)),PATO:0001355,convex
Mesethmoid shape,divergent broader cornuae with medium or shallow notch,BSPO:0000083^OBO_REL:part_of(BSPO:0000671^OBO_REL:part_of(TAO:0000323)),medial region(part_of(anterior margin(part_of(mesethmoid bone)))),PATO:0001495,notched
Mesethmoid shape,divergent broader cornuae with medium or shallow notch,BSPO:0000083^OBO_REL:part_of(BSPO:0000671^OBO_REL:part_of(TAO:0000323)),medial region(part_of(anterior margin(part_of(mesethmoid bone)))),PATO:0001495,notched
Mesethmoid shape,"divergent cornuae with median, deep notch",BSPO:0000083^OBO_REL:part_of(BSPO:0000671^OBO_REL:part_of(TAO:0000323)),medial region(part_of(anterior margin(part_of(mesethmoid bone)))),PATO:0001495,notched
Mesethmoid shape,"divergent cornuae with median, deep notch",BSPO:0000083^OBO_REL:part_of(BSPO:0000671^OBO_REL:part_of(TAO:0000323)),medial region(part_of(anterior margin(part_of(mesethmoid bone)))),PATO:0001495,notched
Mesethmoid shape,"prominent and blunt apex, cornuae reduced; bone creased transversely",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000586,increased size
Mesethmoid shape,"prominent and blunt apex, cornuae reduced; bone creased transversely",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000586,increased size
Mesethmoid shape,"prominent and blunt apex, cornuae reduced; bone creased transversely",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0001950,blunt
Mesethmoid shape,"prominent and blunt apex, cornuae reduced; bone creased transversely",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0001950,blunt
Mesethmoid shape,"prominent and rounded apex, cornuae broad; margin of bone fluted",BSPO:0000006^OBO_REL:part_of(TAO:0000323),anatomical margin(part_of(mesethmoid bone)),PATO:0001948,furrowed
Mesethmoid shape,"prominent and rounded apex, cornuae broad; margin of bone fluted",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000411,round
Mesethmoid shape,"prominent and rounded apex, cornuae broad; margin of bone fluted",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000411,round
Mesethmoid shape,"prominent and rounded apex, cornuae broad; margin of bone fluted",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000586,increased size
Mesethmoid shape,"prominent and rounded apex, cornuae broad; margin of bone fluted",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000586,increased size
Nasal bone shape,"curved tube, tending to parallel the curve of the mesethmoid neck and/or slightly bifurcate anteriorly",BSPO:0000071^OBO_REL:part_of(TAO:0000365),anterior region(part_of(nasal bone)),PATO:0001784,bifurcated
Nasal bone shape,"curved tube, tending to parallel the curve of the mesethmoid neck and/or slightly bifurcate anteriorly",BSPO:0000071^OBO_REL:part_of(TAO:0000365),anterior region(part_of(nasal bone)),PATO:0001784,bifurcated
Nasal bone shape,irregularly shaped or very broad anteriorly or strongly bifurcate,BSPO:0000071^OBO_REL:part_of(TAO:0000365),anterior region(part_of(nasal bone)),PATO:0000600,increased width
Nasal bone shape,irregularly shaped or very broad anteriorly or strongly bifurcate,BSPO:0000071^OBO_REL:part_of(TAO:0000365),anterior region(part_of(nasal bone)),PATO:0000600,increased width
Nasal bone shape,irregularly shaped or very broad anteriorly or strongly bifurcate,BSPO:0000071^OBO_REL:part_of(TAO:0000365),anterior region(part_of(nasal bone)),PATO:0001784,bifurcated
Nasal bone shape,irregularly shaped or very broad anteriorly or strongly bifurcate,BSPO:0000071^OBO_REL:part_of(TAO:0000365),anterior region(part_of(nasal bone)),PATO:0001784,bifurcated
Shape of the vomer,"conical head, arms much reduced",BSPO:0000071^OBO_REL:part_of(TAO:0000308),anterior region(part_of(vomer)),PATO:0002021,conical
Shape of the vomer,"conical head, arms much reduced",BSPO:0000071^OBO_REL:part_of(TAO:0000308),anterior region(part_of(vomer)),PATO:0002021,conical
Barbel position,"bases close together, aligned (or almost), near symphysis",BSPO:0000077^OBO_REL:part_of(TAO:0000622),proximal region(part_of(barbel)),PATO:0000140,position
Barbel position,"bases moderately separated, slightly staggered",BSPO:0000077^OBO_REL:part_of(TAO:0000622),proximal region(part_of(barbel)),PATO:0000140,position
Barbel position,"bases widely separated, laterally on mandible, well staggered",BSPO:0000077^OBO_REL:part_of(TAO:0000622),proximal region(part_of(barbel)),PATO:0000140,position
Size of the frontals,"frontal broad anteriorly and moderately narrow posteriorly, anterior space between lateral-ethmoid and frontal reduced (adults) and arms moderately wide",BSPO:0000071^OBO_REL:part_of(TAO:0000514),anterior region(part_of(frontal bone)),PATO:0000600,increased width
Size of the frontals,"frontal broad anteriorly and moderately narrow posteriorly, anterior space between lateral-ethmoid and frontal reduced (adults) and arms moderately wide",BSPO:0000071^OBO_REL:part_of(TAO:0000514),anterior region(part_of(frontal bone)),PATO:0000600,increased width
Size of the frontals,"frontal broad anteriorly and moderately narrow posteriorly, anterior space between lateral-ethmoid and frontal reduced (adults) and arms moderately wide",BSPO:0000072^OBO_REL:part_of(TAO:0000514),posterior region(part_of(frontal bone)),PATO:0000599,decreased width
Size of the frontals,"frontal broad anteriorly and moderately narrow posteriorly, anterior space between lateral-ethmoid and frontal reduced (adults) and arms moderately wide",BSPO:0000072^OBO_REL:part_of(TAO:0000514),posterior region(part_of(frontal bone)),PATO:0000599,decreased width
Size of the frontals,"frontal broad posteriorly, anterior arms narrow, space between lateral-ethmoid and frontal enlarged",BSPO:0000072^OBO_REL:part_of(TAO:0000514),posterior region(part_of(frontal bone)),PATO:0000600,increased width
Size of the frontals,"frontal broad posteriorly, anterior arms narrow, space between lateral-ethmoid and frontal enlarged",BSPO:0000072^OBO_REL:part_of(TAO:0000514),posterior region(part_of(frontal bone)),PATO:0000600,increased width
Size of the frontals,"frontal moderately broad posteriorly, anterior space between lateral-ethmoid and frontal moderately enlarged",BSPO:0000072^OBO_REL:part_of(TAO:0000514),posterior region(part_of(frontal bone)),PATO:0000600,increased width
Size of the frontals,"frontal moderately broad posteriorly, anterior space between lateral-ethmoid and frontal moderately enlarged",BSPO:0000072^OBO_REL:part_of(TAO:0000514),posterior region(part_of(frontal bone)),PATO:0000600,increased width
Lateral surface of distal end of maxilla,rugose,BSPO:0000382^OBO_REL:part_of(TAO:0000270),lateral surface(part_of(maxilla)),PATO:0001359,rugose
Lateral surface of distal end of maxilla,rugose,BSPO:0000382^OBO_REL:part_of(TAO:0000270),lateral surface(part_of(maxilla)),PATO:0001359,rugose
Lateral surface of distal end of maxilla,smooth,BSPO:0000382^OBO_REL:part_of(TAO:0000270),lateral surface(part_of(maxilla)),PATO:0000701,smooth
Anterior end of basibranchial 3,smooth,BSPO:0000671^OBO_REL:part_of(TAO:0001225),anterior margin(part_of(basibranchial 3 bone)),PATO:0000701,smooth
Anterior end of basibranchial 3,with short bony projections,BSPO:0000671^OBO_REL:part_of(TAO:0001225),anterior margin(part_of(basibranchial 3 bone)),PATO:0000700,rough
Ventral border of first infraorbital,covering a very small anterodorsal portion of the maxilla,BSPO:0000684^OBO_REL:part_of(TAO:0000223),ventral margin(part_of(infraorbital 1)),PATO:0001590,overlap with
Ventral border of first infraorbital,covering a very small anterodorsal portion of the maxilla,BSPO:0000684^OBO_REL:part_of(TAO:0000223),ventral margin(part_of(infraorbital 1)),PATO:0001590,overlap with
Ventral border of first infraorbital,covering most of the maxilla,BSPO:0000684^OBO_REL:part_of(TAO:0000223),ventral margin(part_of(infraorbital 1)),PATO:0001590,overlap with
Ventral border of first infraorbital,covering most of the maxilla,BSPO:0000684^OBO_REL:part_of(TAO:0000223),ventral margin(part_of(infraorbital 1)),PATO:0001590,overlap with
Ventral border of second infraorbital,conspicuously sinuous,BSPO:0000684^OBO_REL:part_of(TAO:0001407),ventral margin(part_of(infraorbital 2)),PATO:0001989,sinuous
Ventral border of second infraorbital,conspicuously sinuous,BSPO:0000684^OBO_REL:part_of(TAO:0001407),ventral margin(part_of(infraorbital 2)),PATO:0001989,sinuous
Ventral border of second infraorbital,straight or slightly convex,BSPO:0000684^OBO_REL:part_of(TAO:0001407),ventral margin(part_of(infraorbital 2)),PATO:0001355,convex
Ventral border of second infraorbital,straight or slightly convex,BSPO:0000684^OBO_REL:part_of(TAO:0001407),ventral margin(part_of(infraorbital 2)),PATO:0001355,convex
Ventral border of second infraorbital,straight or slightly convex,BSPO:0000684^OBO_REL:part_of(TAO:0001407),ventral margin(part_of(infraorbital 2)),PATO:0002180,straight
Ventral border of second infraorbital,straight or slightly convex,BSPO:0000684^OBO_REL:part_of(TAO:0001407),ventral margin(part_of(infraorbital 2)),PATO:0002180,straight
Posteroventral border of second infraorbital,crenulate,BSPO:0000689^OBO_REL:part_of(TAO:0001407),postero-ventral margin(part_of(infraorbital 2)),PATO:0001889,scalloped
Posteroventral border of second infraorbital,crenulate,BSPO:0000689^OBO_REL:part_of(TAO:0001407),postero-ventral margin(part_of(infraorbital 2)),PATO:0001889,scalloped
Posteroventral border of second infraorbital,smooth,BSPO:0000689^OBO_REL:part_of(TAO:0001407),postero-ventral margin(part_of(infraorbital 2)),PATO:0000701,smooth
Extensor muscle fossa on coracoid,"broad and shallow, posterior edge not upturned",BSPO:0000672^OBO_REL:part_of(TAO:0001743^OBO_REL:part_of(TAO:0000332)),posterior margin(part_of(fossa(part_of(coracoid)))),PATO:0002031,upturned
Extensor muscle fossa on coracoid,"broad and shallow, posterior edge not upturned",BSPO:0000672^OBO_REL:part_of(TAO:0001743^OBO_REL:part_of(TAO:0000332)),posterior margin(part_of(fossa(part_of(coracoid)))),PATO:0002031,upturned
Extensor muscle fossa on coracoid,"narrow and deep, posterior edge sharply upturned",BSPO:0000672^OBO_REL:part_of(TAO:0001743^OBO_REL:part_of(TAO:0000332)),posterior margin(part_of(fossa(part_of(coracoid)))),PATO:0002031,upturned
Extensor muscle fossa on coracoid,"narrow and deep, posterior edge sharply upturned",BSPO:0000672^OBO_REL:part_of(TAO:0001743^OBO_REL:part_of(TAO:0000332)),posterior margin(part_of(fossa(part_of(coracoid)))),PATO:0002031,upturned
Extensor muscle fossa on coracoid,"narrow and shallow, posterior not upturned",BSPO:0000672^OBO_REL:part_of(TAO:0001743^OBO_REL:part_of(TAO:0000332)),posterior margin(part_of(fossa(part_of(coracoid)))),PATO:0000052,shape
Extensor muscle fossa on coracoid,"narrow and shallow, posterior not upturned",BSPO:0000672^OBO_REL:part_of(TAO:0001743^OBO_REL:part_of(TAO:0000332)),posterior margin(part_of(fossa(part_of(coracoid)))),PATO:0000052,shape
Supraoccipital process and associated supraneural,"supraoccipital process nearly parallel-sided, narrowed, bifid posteriorly, and very long, contacting large supraneural. In the original matrix this character was coded in additive binary format: 1,0,0,0,0,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0001572,bifid
Supraoccipital process and associated supraneural,"supraoccipital process nearly parallel-sided, narrowed, bifid posteriorly, and very long, contacting large supraneural. In the original matrix this character was coded in additive binary format: 1,0,0,0,0,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0001572,bifid
Supraoccipital process and associated supraneural,"supraoccipital process tapering, broad, bifid posteriorly, and contacting large supraneural. In the original matrix this character was coded in additive binary format: 0,0,0,0,0,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0001572,bifid
Supraoccipital process and associated supraneural,"supraoccipital process tapering, broad, bifid posteriorly, and contacting large supraneural. In the original matrix this character was coded in additive binary format: 0,0,0,0,0,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0001572,bifid
Supraoccipital process and associated supraneural,"supraoccipital process tapering, broad, rounded to shallowly notched posteriorly, close to but not contacting large supraneural. In the original matrix this character was coded in additive binary format: 0,1,0,0,0,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0000411,round
Supraoccipital process and associated supraneural,"supraoccipital process tapering, broad, rounded to shallowly notched posteriorly, close to but not contacting large supraneural. In the original matrix this character was coded in additive binary format: 0,1,0,0,0,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0000411,round
Supraoccipital process and associated supraneural,"supraoccipital process tapering, broad, rounded to shallowly notched posteriorly, close to but not contacting large supraneural. In the original matrix this character was coded in additive binary format: 0,1,0,0,0,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0001495,notched
Supraoccipital process and associated supraneural,"supraoccipital process tapering, broad, rounded to shallowly notched posteriorly, close to but not contacting large supraneural. In the original matrix this character was coded in additive binary format: 0,1,0,0,0,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0001495,notched
Supraoccipital process and associated supraneural,"supraoccipital process tapering, narrow , sharply pointed posteriorly, not contacting large supraneural. In the original matrix this character was coded in additive binary format: 0,0,1,0,0,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0002228,acuminate
Supraoccipital process and associated supraneural,"supraoccipital process tapering, narrow , sharply pointed posteriorly, not contacting large supraneural. In the original matrix this character was coded in additive binary format: 0,0,1,0,0,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0002228,acuminate
Supraoccipital process and associated supraneural,"supraoccipital process tapering, very narrow, blade-like posteriorly, long, and supraneural absent. In the original matrix this character was coded in additive binary format: 0,0,1,0,1,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0002235,blade-like
Supraoccipital process and associated supraneural,"supraoccipital process tapering, very narrow, blade-like posteriorly, long, and supraneural absent. In the original matrix this character was coded in additive binary format: 0,0,1,0,1,0",BSPO:0000072^OBO_REL:part_of(TAO:0001783),posterior region(part_of(supraoccipital crest)),PATO:0002235,blade-like
Sagittal crests on skull roof,"broad with sculptured surface, and angular margins",BSPO:0000006^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(BSPO:0000063^OBO_REL:part_of(TAO:0000737))),anatomical margin(part_of(process(part_of(dorsal side(part_of(cranium)))))),PATO:0001977,angular
Sagittal crests on skull roof,"broad with sculptured surface, and angular margins",BSPO:0000006^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(BSPO:0000063^OBO_REL:part_of(TAO:0000737))),anatomical margin(part_of(process(part_of(dorsal side(part_of(cranium)))))),PATO:0001977,angular
Sagittal crests on skull roof,"broad with sculptured surface restricted to supraoccipital, and rounded margins near fronto-supraoccipital suture",BSPO:0000006^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(BSPO:0000063^OBO_REL:part_of(TAO:0000737))),anatomical margin(part_of(process(part_of(dorsal side(part_of(cranium)))))),PATO:0000411,round
Sagittal crests on skull roof,"broad with sculptured surface restricted to supraoccipital, and rounded margins near fronto-supraoccipital suture",BSPO:0000006^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(BSPO:0000063^OBO_REL:part_of(TAO:0000737))),anatomical margin(part_of(process(part_of(dorsal side(part_of(cranium)))))),PATO:0000411,round
Sagittal crests on skull roof,"broad with sculptured surface restricted to supraoccipital process base, and rounded margins near fronto-supraocctpltal suture",BSPO:0000006^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(BSPO:0000063^OBO_REL:part_of(TAO:0000737))),anatomical margin(part_of(process(part_of(dorsal side(part_of(cranium)))))),PATO:0000411,round
Sagittal crests on skull roof,"broad with sculptured surface restricted to supraoccipital process base, and rounded margins near fronto-supraocctpltal suture",BSPO:0000006^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(BSPO:0000063^OBO_REL:part_of(TAO:0000737))),anatomical margin(part_of(process(part_of(dorsal side(part_of(cranium)))))),PATO:0000411,round
Anterior extent of sphenotic,does not reach anterior to the level of posterior margin of epiphyseal bar,BSPO:0000671^OBO_REL:part_of(TAO:0000587),anterior margin(part_of(sphenotic)),PATO:0001633,posterior to
Anterior extent of sphenotic,reaches or extends anterior to the level of anterior margin of epiphyseal bar,BSPO:0000671^OBO_REL:part_of(TAO:0000587),anterior margin(part_of(sphenotic)),PATO:0001632,anterior to
Pterotic surface,deep pits,BSPO:0000379^OBO_REL:part_of(TAO:0000576),dorsal surface(part_of(pterotic)),PATO:0000700,rough
Pterotic surface,few shallow pits,BSPO:0000379^OBO_REL:part_of(TAO:0000576),dorsal surface(part_of(pterotic)),PATO:0000700,rough
Pterotic surface,smooth,BSPO:0000379^OBO_REL:part_of(TAO:0000576),dorsal surface(part_of(pterotic)),PATO:0000701,smooth
Coronoid process,"high, posterior side abruptly inclined dorsad",BSPO:0000056^OBO_REL:part_of(TAO:0001673),posterior side(part_of(coronoid process)),PATO:0001658,dorsally rotated
Coronoid process,"high, posterior side moderately steeply inclined dorsad",BSPO:0000056^OBO_REL:part_of(TAO:0001673),posterior side(part_of(coronoid process)),PATO:0001658,dorsally rotated
Coronoid process,"low, posterior side gently inclined dorsad",BSPO:0000056^OBO_REL:part_of(TAO:0001673),posterior side(part_of(coronoid process)),PATO:0001658,dorsally rotated
Lateral line extent,not reaching caudal skeleton,BSPO:0000672^OBO_REL:part_of(TAO:0001469),posterior margin(part_of(lateral line)),PATO:0001632,anterior to
Lateral line extent,to base of caudal-fin rays,BSPO:0000672^OBO_REL:part_of(TAO:0001469),posterior margin(part_of(lateral line)),PATO:0001193,lateral to
Lateral line extent,to hypurals,BSPO:0000672^OBO_REL:part_of(TAO:0001469),posterior margin(part_of(lateral line)),PATO:0001193,lateral to
Jaw adductor muscle attachment surface on preopercle,"concave, expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0000140,position
Jaw adductor muscle attachment surface on preopercle,"concave, expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0001857,concave
Jaw adductor muscle attachment surface on preopercle,"concave, expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0001857,concave
Jaw adductor muscle attachment surface on preopercle,"concave, expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0002057,increased area
Jaw adductor muscle attachment surface on preopercle,"concave, expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0002057,increased area
Jaw adductor muscle attachment surface on preopercle,"flattened, expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0000140,position
Jaw adductor muscle attachment surface on preopercle,"flattened, expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0000407,flat
Jaw adductor muscle attachment surface on preopercle,"flattened, expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0000407,flat
Jaw adductor muscle attachment surface on preopercle,"flattened, expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0002057,increased area
Jaw adductor muscle attachment surface on preopercle,"flattened, expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0002057,increased area
Jaw adductor muscle attachment surface on preopercle,"flattened, not expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0000140,position
Jaw adductor muscle attachment surface on preopercle,"flattened, not expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0000407,flat
Jaw adductor muscle attachment surface on preopercle,"flattened, not expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0000407,flat
Jaw adductor muscle attachment surface on preopercle,"flattened, not expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0002058,decreased area
Jaw adductor muscle attachment surface on preopercle,"flattened, not expanded behind sensory canal",BSPO:0000005^OBO_REL:part_of(TAO:0000264)^OBO_REL:connected_to(TAO:0007049),"anatomical surface(part_of(preopercle), connected_to(adductor mandibulae))",PATO:0002058,decreased area
Upper limb of preopercle,extends dorsal to level of adductor crest on hyomandibular,BSPO:0000679^OBO_REL:part_of(TAO:0000336),dorsal margin(part_of(preopercle vertical limb)),PATO:0001233,dorsal to
Upper limb of preopercle,truncated at level of adductor crest on hyomandibular,BSPO:0000679^OBO_REL:part_of(TAO:0000336),dorsal margin(part_of(preopercle vertical limb)),PATO:0002259,adjacent to
Metapterygoid form,"ventral edge nearly straight, anterior process obsolete, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,0,1,1",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0002180,straight
Metapterygoid form,"ventral edge nearly straight, anterior process obsolete, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,0,1,1",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0002180,straight
Metapterygoid form,"ventral edge nearly straight, anterior process obsolete, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,0,1,1",BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0002180,straight
Metapterygoid form,"ventral edge nearly straight, anterior process obsolete, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,0,1,1",BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0002180,straight
Metapterygoid form,"ventral edge nearly straight, anterior process small, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,0,1,0",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0002180,straight
Metapterygoid form,"ventral edge nearly straight, anterior process small, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,0,1,0",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0002180,straight
Metapterygoid form,"ventral edge nearly straight, anterior process small, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,0,1,0",BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0002180,straight
Metapterygoid form,"ventral edge nearly straight, anterior process small, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,0,1,0",BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0002180,straight
Metapterygoid form,"ventral edge scarcely curved and short, anterior process prominent, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,1,0,0",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0002180,straight
Metapterygoid form,"ventral edge scarcely curved and short, anterior process prominent, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,1,0,0",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0002180,straight
Metapterygoid form,"ventral edge scarcely curved and short, anterior process prominent, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,1,0,0",BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0000574,decreased length
Metapterygoid form,"ventral edge scarcely curved and short, anterior process prominent, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,1,0,0",BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0000574,decreased length
Metapterygoid form,"ventral edge scarcely curved and short, anterior process prominent, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,1,0,0",BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0001593,decreased curvature
Metapterygoid form,"ventral edge scarcely curved and short, anterior process prominent, dorsal edge straight. In the original matrix this character was coded in additive binary format: 1,1,0,0",BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0001593,decreased curvature
Metapterygoid form,"ventral edge strongly curved, anterior process prominent, dorsal edge convex. In the original matrix this character was coded in additive binary format: 0,0,0,0",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0001355,convex
Metapterygoid form,"ventral edge strongly curved, anterior process prominent, dorsal edge convex. In the original matrix this character was coded in additive binary format: 0,0,0,0",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0001355,convex
Metapterygoid form,"ventral edge strongly curved, anterior process prominent, dorsal edge convex. In the original matrix this character was coded in additive binary format: 0,0,0,0",BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0001592,increased curvature
Metapterygoid form,"ventral edge strongly curved, anterior process prominent, dorsal edge convex. In the original matrix this character was coded in additive binary format: 0,0,0,0",BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0001592,increased curvature
Metapterygoid form,"ventral edge strongly curved, anterior process prominent, dorsal edge scarcely convex. In the original matrix this character was coded in additive binary format: 1,0,0,0",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0001355,convex
Metapterygoid form,"ventral edge strongly curved, anterior process prominent, dorsal edge scarcely convex. In the original matrix this character was coded in additive binary format: 1,0,0,0",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0001355,convex
Metapterygoid form,"ventral edge strongly curved, anterior process prominent, dorsal edge scarcely convex. In the original matrix this character was coded in additive binary format: 1,0,0,0",BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0001593,decreased curvature
